Number of people who will provide maintenance,Loan History,Purpose of taking loan,loan amount taken,Guarantor or Debtor,Number of years of employment,Marital Status,Number of loans taken from current bank,Age of the applicant in Number of Years,amount in current account,amount in savings account,% of income paid as installment,Other loans plans taken,Working abroad or not,Is there telephone number available,time duration for loan,Owned property,Type of job performed,Type of Housing,Number of years of stay in current address,Loan Defaulted or not
1,critical account/other loans existing (not at this bank),New Car Purchase,1028,none,between 1 and 4 years,female and divorced/seperated/married,2,36,no current account,less than 100,4,none,Yes,No,18,Real Estate,skilled employee / official,own,3,1
1,existing loans paid back duly till now,Purchase of radio/television,10222,none,greater than 4 years,male and single,1,37,no current account,no savings account,4,stores,Yes,Yes,48,car or other property,skilled employee / official,own,3,1
1,existing loans paid back duly till now,Purchase of radio/television,701,none,between 1 and 4 years,male and married/widowed,1,40,less than 0,less than 100,4,none,Yes,No,12,Real Estate,unskilled - resident,own,2,1
1,existing loans paid back duly till now,Purchase of radio/television,1670,none,less than a year,female and divorced/seperated/married,1,22,between 0 and 200,less than 100,4,none,Yes,Yes,9,car or other property,skilled employee / official,own,2,2
1,critical account/other loans existing (not at this bank),New Car Purchase,1163,none,between 1 and 4 years,male and single,1,44,no current account,between 500 and 1000,4,none,Yes,Yes,12,Real Estate,skilled employee / official,own,4,1
1,all loans at this bank paid back duly,New Car Purchase,2325,none,greater than 4 years,male and single,1,32,less than 0,between 100 and 500,2,bank,Yes,No,24,car or other property,skilled employee / official,own,3,1
1,critical account/other loans existing (not at this bank),Old Car Repair,10477,none,,male and single,2,42,no current account,no savings account,2,none,Yes,No,36,No property,skilled employee / official,for free,4,1
1,delay in paying off loans in the past,New Car Purchase,2862,none,,male and single,1,30,between 0 and 200,between 100 and 500,4,none,Yes,No,36,No property,skilled employee / official,for free,3,1
1,critical account/other loans existing (not at this bank),New Car Purchase,10127,none,between 1 and 4 years,male and single,1,44,no current account,between 500 and 1000,2,bank,Yes,No,48,No property,skilled employee / official,for free,2,2
1,existing loans paid back duly till now,Purchase of furniture/equipment,2659,none,between 1 and 4 years,male and single,1,28,less than 0,greater than 1000,4,none,Yes,No,18,car or other property,skilled employee / official,own,2,1
1,existing loans paid back duly till now,Purchase of radio/television,1533,none,less than a year,female and divorced/seperated/married,1,38,no current account,less than 100,4,stores,Yes,Yes,24,car or other property,skilled employee / official,own,3,1
1,critical account/other loans existing (not at this bank),Purchase of radio/television,1231,none,,female and divorced/seperated/married,2,57,less than 0,greater than 1000,4,none,Yes,Yes,24,building society savings agreement/life insurance,management/ self-employed/highly qualified employee/ officer,rent,4,1
1,existing loans paid back duly till now,Purchase of radio/television,804,none,,male and single,1,38,no current account,less than 100,4,none,Yes,No,12,car or other property,skilled employee / official,own,4,1
1,all loans at this bank paid back duly,Old Car Repair,3632,gaurantor,between 1 and 4 years,female and divorced/seperated/married,1,22,less than 0,less than 100,1,bank,No,No,24,car or other property,skilled employee / official,rent,4,1
1,existing loans paid back duly till now,Purchase of furniture/equipment,1543,none,between 1 and 4 years,male and divorced/seperated,1,33,no current account,greater than 1000,4,none,Yes,No,6,Real Estate,skilled employee / official,own,2,1
1,delay in paying off loans in the past,Purchase of radio/television,4454,none,between 1 and 4 years,female and divorced/seperated/married,2,34,no current account,less than 100,4,none,Yes,No,36,Real Estate,skilled employee / official,own,4,1
1,existing loans paid back duly till now,New Car Purchase,1549,none,less than a year,male and single,1,35,between 0 and 200,no savings account,4,none,Yes,No,9,Real Estate,unemployed/ unskilled - non-resident,own,2,1
1,delay in paying off loans in the past,Purchase of radio/television,683,none,less than a year,female and divorced/seperated/married,1,29,greater than 200,less than 100,2,bank,Yes,No,6,building society savings agreement/life insurance,skilled employee / official,own,1,1
1,existing loans paid back duly till now,Purchase of radio/television,2671,co-applicant,between 1 and 4 years,female and divorced/seperated/married,1,50,between 0 and 200,between 100 and 500,4,none,Yes,No,36,No property,skilled employee / official,for free,4,2
1,existing loans paid back duly till now,New Car Purchase,685,none,greater than 4 years,male and married/widowed,1,25,between 0 and 200,less than 100,2,bank,Yes,No,12,car or other property,unskilled - resident,own,3,2
1,existing loans paid back duly till now,Purchase of radio/television,1377,none,,female and divorced/seperated/married,1,47,greater than 200,between 100 and 500,4,none,Yes,Yes,24,No property,skilled employee / official,for free,2,1
1,critical account/other loans existing (not at this bank),Purchase of furniture/equipment,8386,none,greater than 4 years,male and single,1,49,between 0 and 200,less than 100,2,none,Yes,No,30,building society savings agreement/life insurance,skilled employee / official,own,2,2
1,existing loans paid back duly till now,Purchase of radio/television,3105,none,less than a year,male and single,2,25,no current account,no savings account,4,none,Yes,No,24,car or other property,skilled employee / official,own,2,1
1,existing loans paid back duly till now,Old Car Repair,8335,none,,male and single,1,47,less than 0,no savings account,3,none,Yes,No,36,No property,skilled employee / official,for free,4,2
1,existing loans paid back duly till now,Purchase of furniture/equipment,1766,none,between 1 and 4 years,male and married/widowed,1,21,no current account,less than 100,1,none,Yes,No,6,building society savings agreement/life insurance,skilled employee / official,rent,2,1
2,delay in paying off loans in the past,Other repairs,1555,none,,male and single,2,55,no current account,greater than 1000,4,none,Yes,No,12,No property,skilled employee / official,for free,4,2
1,critical account/other loans existing (not at this bank),Purchase of radio/television,1098,none,unemployed,female and divorced/seperated/married,2,65,no current account,less than 100,4,none,Yes,No,18,car or other property,unemployed/ unskilled - non-resident,own,4,1
1,critical account/other loans existing (not at this bank),Purchase of radio/television,1316,none,between 1 and 4 years,male and married/widowed,2,47,no current account,between 500 and 1000,2,none,Yes,No,15,building society savings agreement/life insurance,unskilled - resident,own,2,1
2,all loans at this bank paid back duly,Old Car Repair,5129,none,,female and divorced/seperated/married,1,74,between 0 and 200,less than 100,2,bank,Yes,Yes,9,No property,management/ self-employed/highly qualified employee/ officer,for free,4,2
1,existing loans paid back duly till now,Purchase of furniture/equipment,2462,none,between 1 and 4 years,male and single,1,22,less than 0,less than 100,2,none,Yes,No,18,car or other property,skilled employee / official,own,2,2
1,existing loans paid back duly till now,Purchase of radio/television,1505,none,between 1 and 4 years,male and single,1,32,no current account,less than 100,4,none,Yes,Yes,18,No property,management/ self-employed/highly qualified employee/ officer,for free,2,1
1,existing loans paid back duly till now,Purchase of radio/television,1680,none,,male and married/widowed,1,35,less than 0,between 500 and 1000,3,none,Yes,No,12,Real Estate,skilled employee / official,own,1,1
1,existing loans paid back duly till now,Purchase of radio/television,3595,none,,male and single,1,28,no current account,less than 100,4,none,Yes,No,36,car or other property,skilled employee / official,own,2,1
2,existing loans paid back duly till now,New Car Purchase,3949,gaurantor,less than a year,male and single,1,37,greater than 200,less than 100,1,none,Yes,No,10,building society savings agreement/life insurance,unskilled - resident,own,1,1
1,existing loans paid back duly till now,Purchase of radio/television,1364,none,greater than 4 years,male and single,1,59,less than 0,less than 100,3,none,Yes,No,9,Real Estate,skilled employee / official,own,4,1
1,critical account/other loans existing (not at this bank),Purchase of furniture/equipment,1935,none,,male and single,3,43,no current account,less than 100,4,none,Yes,Yes,12,Real Estate,skilled employee / official,own,4,1
1,critical account/other loans existing (not at this bank),New Car Purchase,609,none,greater than 4 years,female and divorced/seperated/married,2,37,less than 0,less than 100,4,none,No,No,6,building society savings agreement/life insurance,skilled employee / official,own,3,1
1,existing loans paid back duly till now,Old Car Repair,2910,none,greater than 4 years,male and single,1,34,less than 0,less than 100,2,none,Yes,Yes,24,No property,management/ self-employed/highly qualified employee/ officer,for free,1,1
1,existing loans paid back duly till now,Purchase of furniture/equipment,1388,none,between 1 and 4 years,female and divorced/seperated/married,1,26,no current account,less than 100,4,none,Yes,No,9,Real Estate,skilled employee / official,rent,2,1
2,all loans at this bank paid back duly,Education Loan,433,none,less than a year,female and divorced/seperated/married,1,24,between 0 and 200,greater than 1000,4,bank,Yes,No,6,building society savings agreement/life insurance,skilled employee / official,rent,2,2
1,existing loans paid back duly till now,New Car Purchase,1228,none,between 1 and 4 years,female and divorced/seperated/married,1,24,less than 0,less than 100,4,none,Yes,No,12,Real Estate,unskilled - resident,own,2,2
1,delay in paying off loans in the past,Loan for business establishment,6836,none,,male and single,2,63,less than 0,less than 100,3,none,Yes,Yes,60,No property,skilled employee / official,own,4,2
1,critical account/other loans existing (not at this bank),Purchase of furniture/equipment,5801,none,,male and single,1,49,no current account,no savings account,2,none,Yes,Yes,12,building society savings agreement/life insurance,skilled employee / official,rent,4,1
1,existing loans paid back duly till now,Loan for business establishment,907,none,less than a year,male and married/widowed,1,26,between 0 and 200,less than 100,3,none,Yes,Yes,8,Real Estate,skilled employee / official,own,2,1
2,existing loans paid back duly till now,Purchase of furniture/equipment,3590,co-applicant,between 1 and 4 years,male and single,1,29,less than 0,less than 100,2,none,Yes,No,12,building society savings agreement/life insurance,unskilled - resident,own,2,1
1,existing loans paid back duly till now,Education Loan,795,none,less than a year,female and divorced/seperated/married,1,53,less than 0,less than 100,4,none,Yes,No,12,building society savings agreement/life insurance,skilled employee / official,own,4,2
1,delay in paying off loans in the past,,7582,none,unemployed,male and single,1,31,between 0 and 200,between 100 and 500,2,none,Yes,Yes,48,No property,management/ self-employed/highly qualified employee/ officer,for free,4,1
1,all loans at this bank paid back duly,Old Car Repair,7485,none,unemployed,female and divorced/seperated/married,1,53,no current account,no savings account,4,bank,Yes,Yes,30,Real Estate,management/ self-employed/highly qualified employee/ officer,own,1,2
1,existing loans paid back duly till now,Purchase of furniture/equipment,1474,none,less than a year,female and divorced/seperated/married,1,33,greater than 200,less than 100,4,bank,Yes,Yes,12,building society savings agreement/life insurance,management/ self-employed/highly qualified employee/ officer,own,1,1
1,existing loans paid back duly till now,Purchase of radio/television,2930,none,greater than 4 years,female and divorced/seperated/married,1,27,between 0 and 200,less than 100,2,none,Yes,No,12,Real Estate,skilled employee / official,own,1,1
1,existing loans paid back duly till now,Other repairs,3872,none,unemployed,female and divorced/seperated/married,1,67,between 0 and 200,less than 100,2,none,Yes,Yes,18,car or other property,skilled employee / official,own,4,1
1,critical account/other loans existing (not at this bank),Purchase of radio/television,3656,none,,male and single,2,49,greater than 200,no savings account,4,stores,Yes,No,30,building society savings agreement/life insurance,unskilled - resident,own,4,1
1,critical account/other loans existing (not at this bank),Old Car Repair,4576,none,unemployed,male and single,1,27,between 0 and 200,between 100 and 500,3,none,Yes,No,45,car or other property,skilled employee / official,own,4,1
1,delay in paying off loans in the past,Purchase of furniture/equipment,1050,none,unemployed,male and single,2,35,between 0 and 200,less than 100,4,stores,Yes,Yes,6,building society savings agreement/life insurance,management/ self-employed/highly qualified employee/ officer,own,1,1
1,existing loans paid back duly till now,Purchase of radio/television,1376,none,greater than 4 years,female and divorced/seperated/married,1,28,no current account,between 500 and 1000,4,none,Yes,No,24,car or other property,skilled employee / official,own,1,1
1,existing loans paid back duly till now,New Car Purchase,1372,none,greater than 4 years,male and divorced/seperated,1,36,less than 0,less than 100,2,none,Yes,No,12,car or other property,skilled employee / official,own,3,2
1,existing loans paid back duly till now,New Car Purchase,1287,co-applicant,,male and single,1,45,no current account,no savings account,4,none,No,No,10,building society savings agreement/life insurance,unskilled - resident,own,2,1
1,existing loans paid back duly till now,Purchase of radio/television,5943,none,less than a year,female and divorced/seperated/married,2,44,no current account,no savings account,1,none,Yes,Yes,24,car or other property,skilled employee / official,own,1,2
1,existing loans paid back duly till now,Purchase of furniture/equipment,3108,none,less than a year,male and divorced/seperated,1,31,less than 0,less than 100,2,none,Yes,No,30,building society savings agreement/life insurance,unskilled - resident,own,4,2
1,critical account/other loans existing (not at this bank),Purchase of furniture/equipment,1049,none,less than a year,female and divorced/seperated/married,1,21,less than 0,less than 100,4,none,Yes,No,18,building society savings agreement/life insurance,skilled employee / official,rent,4,1
1,existing loans paid back duly till now,New Car Purchase,7472,none,unemployed,female and divorced/seperated/married,1,24,between 0 and 200,no savings account,1,none,Yes,No,12,Real Estate,unemployed/ unskilled - non-resident,rent,2,1
2,critical account/other loans existing (not at this bank),Purchase of radio/television,1216,none,less than a year,male and single,2,38,between 0 and 200,between 100 and 500,4,bank,Yes,No,24,No property,skilled employee / official,own,4,2
1,critical account/other loans existing (not at this bank),Old Car Repair,2957,none,,male and single,2,63,less than 0,less than 100,4,none,Yes,Yes,24,building society savings agreement/life insurance,skilled employee / official,own,4,1
1,existing loans paid back duly till now,Purchase of furniture/equipment,3049,none,less than a year,female and divorced/seperated/married,1,45,greater than 200,less than 100,1,stores,Yes,No,18,building society savings agreement/life insurance,unskilled - resident,own,1,1
1,existing loans paid back duly till now,Purchase of radio/television,3190,none,between 1 and 4 years,female and divorced/seperated/married,1,24,less than 0,less than 100,2,none,Yes,No,18,Real Estate,skilled employee / official,own,2,2
2,critical account/other loans existing (not at this bank),New Car Purchase,3939,none,between 1 and 4 years,male and single,2,40,less than 0,less than 100,1,none,Yes,No,11,Real Estate,unskilled - resident,own,2,1
1,no loans taken/all loans paid back duly,New Car Purchase,1082,none,between 1 and 4 years,male and single,2,48,less than 0,less than 100,4,bank,Yes,No,12,car or other property,skilled employee / official,own,4,2
2,existing loans paid back duly till now,New Car Purchase,2579,none,less than a year,male and single,1,33,less than 0,less than 100,4,none,Yes,No,12,Real Estate,unskilled - resident,own,1,2
1,existing loans paid back duly till now,Purchase of radio/television,1924,none,between 1 and 4 years,male and single,1,38,no current account,less than 100,1,none,No,Yes,10,building society savings agreement/life insurance,skilled employee / official,own,4,1
1,critical account/other loans existing (not at this bank),New Car Purchase,3485,none,less than a year,male and divorced/seperated,2,44,no current account,no savings account,2,none,Yes,Yes,20,Real Estate,skilled employee / official,own,4,1
1,existing loans paid back duly till now,New Car Purchase,3959,none,between 1 and 4 years,female and divorced/seperated/married,1,29,less than 0,less than 100,3,none,Yes,Yes,15,building society savings agreement/life insurance,skilled employee / official,own,2,2
1,existing loans paid back duly till now,Other repairs,1308,none,,male and single,2,38,between 0 and 200,less than 100,4,none,Yes,No,15,car or other property,unskilled - resident,own,4,1
1,existing loans paid back duly till now,Purchase of furniture/equipment,2241,none,,male and single,2,50,no current account,less than 100,4,none,Yes,No,21,Real Estate,skilled employee / official,own,2,1
1,critical account/other loans existing (not at this bank),Purchase of radio/television,3017,none,,male and single,1,47,greater than 200,less than 100,4,none,Yes,No,30,building society savings agreement/life insurance,skilled employee / official,own,4,1
1,existing loans paid back duly till now,Purchase of radio/television,1082,none,,male and single,2,27,between 0 and 200,less than 100,4,none,Yes,No,9,car or other property,unskilled - resident,own,4,1
